グラフ中のタイトルをsに設定する	plt.title(s)
リストxdataとリストydataについて散布図を描画して、マーカーの色をライトイエローに設定する	plt.plot(xdata, ydata, c='lightyellow')
Pandasで、sを日付データに変換する	pd.to_datetime(s)
リストxdataとリストydataについての散布図をダークグレー色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='darkgray', alpha=0.5)
散布図にバイオレット色のマーカーを使う	plt.plot(xdata, ydata, c='violet')
折れ線グラフの大バツマーカーを赤くする	plt.plot(xdata, ydata, marker='X', markerfacecolor='r')
リストxdataとリストydataについて破線グラフを描画して、その色をライムグリーンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='limegreen')
オーキッド色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='orchid')
散布図にモカシン色のマーカーを使う	plt.plot(xdata, ydata, c='moccasin')
リストxdataをティール色のヒストグラムで描画する	plt.hist(xdata, color='teal')
マルーン色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='maroon')
リストxdataとリストydataについての散布図をサーモン色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='salmon', alpha=0.5)
破線グラフの色をモカシンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='moccasin')
デックdeqの大きさ	len(deq)
sが全て空白文字からなるか調べる	s.isspace()
赤い三角マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='^', c='r')
ゲインズボロ色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='gainsboro', alpha=0.5)
紺碧色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='azure', alpha=0.5)
CSVファイルからデータフレームを読み込む	pd.read_csv(filename, sep=',')
散布図にダークグレー色のマーカーを使う	plt.plot(xdata, ydata, c='darkgray')
ペールグリーン色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='palegreen')
データフレームdfとデータフレームdf2をカラムcolをキーにして右結合する	pd.merge(df, df2, on=col, how='right')
リネン色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='linen')
リストxdataとリストydataについて折れ線グラフを描画して、その色をライトスチールブルーに設定する	plt.plot(xdata, ydata, color='lightsteelblue')
散布図に紺碧色のマーカーを使う	plt.plot(xdata, ydata, c='azure')
破線グラフの色をライムグリーンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='limegreen')
リストxdataとリストydataについて折れ線グラフを描画して、その色をライトスレイグレーに設定する	plt.plot(xdata, ydata, color='lightslategrey')
ファイルfilenameをバイナリできるようにオープンする]	open(filename, mode='rb')
リストxdataとリストydataについての散布図をダークブルー色で描画する	plt.plot(xdata, ydata, c='darkblue')
カーキ色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='khaki')
破線グラフの色をホットピンクに設定する	plt.plot(xdata, ydata, linestyle='dash', color='hotpink')
sにおいてs2をs3に全て置き換える	s.replace(s2, s3)
リストxdataとリストydataについて散布図を描画して、マーカーの色をダークブルーに設定する	plt.plot(xdata, ydata, c='darkblue')
リストiterableをカンマ区切りで連結する	','.join(map(str, iterable))
xの逆双曲線余弦	math.acosh(x)
ラベンダーブラッシュ色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='lavenderblush', alpha=0.5)
散布図にナバホホワイト色のマーカーを使う	plt.plot(xdata, ydata, c='navajowhite')
Pandasで、データ列dsを日付データに変換し、データフレームdfのインデックスにする	df.index = pd.DatetimeIndex(pd.to_datetime(ds))
整数nがリストalistのどれかか調べる	n in alist
ミディアムアクアマリン色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='mediumaquamarine')
折れ線グラフの色をライトコーラルに設定する	plt.plot(xdata, ydata, color='lightcoral')
コーンズシルク色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='cornsilk')
散布図にパパイヤウィップ色のマーカーを使う	plt.plot(xdata, ydata, c='papayawhip')
セットasetの全ての要素がセットaset2に含まれるか調べる	aset.issubset(aset2)
リストxdataとリストydataについて散布図を描画して、マーカーの色をゴールドに設定する	plt.plot(xdata, ydata, c='gold')
ブラウン色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='brown')
プログラムの実行を異常終了する	sys.exit(1)
リストxdataとリストydataについて折れ線グラフを描画して、その色を淡いピンク色に設定する	plt.plot(xdata, ydata, color='lightpink')
リストxdataとリストydataについての散布図をダーク・スラテグレー色で描画する	plt.plot(xdata, ydata, c='darkslategrey')
ファイルfilenameをEUCで書き込み用にオープンする]	open(filename, mode='w', encoding='euc_jp')
コーンフラワーブルー色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='cornflowerblue', alpha=0.5)
データ列dsの欠損値を最大値で埋める	ds.fillna(ds.max())
リストxdataとリストydataについて散布図を描画して、マーカーの色をスノーに設定する	plt.plot(xdata, ydata, c='snow')
xの天井	math.ceil(x)
リストxdataとリストydataについて破線グラフを描画して、その色をラベンダーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='lavender')
データフレームdfのカラムcolを削除する	df.drop(col, axis=1)
クリムゾン色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='crimson')
sからs2を全て取り除く	s.replace(s2, '')
リストxdataをブルーバイオレット色のヒストグラムで描画する	plt.hist(xdata, color='blueviolet')
オプションで、先頭の行をヘッダに設定する	header = 0
リストxdataをパールバイオレットレッド色のヒストグラムで描画する	plt.hist(xdata, color='palevioletred')
折れ線グラフの色をダークターコイズに設定する	plt.plot(xdata, ydata, color='darkturquoise')
TSVファイルfilenameをヘッダを指定せず読み込む	pd.read_csv(filename, header=None)
タプルatupleをnからナンバリングする	enumerate(atuple, start=n)
ホワイト色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='white')
リストxdataとリストydataについて破線グラフを描画して、その色をドジャーブルーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='dodgerblue')
sはタイトルケースか調べる	s.istitle()
折れ線グラフの色をアクアに設定する	plt.plot(xdata, ydata, color='aqua')
折れ線グラフの大バツマーカーを黄色くする	plt.plot(xdata, ydata, marker='X', markerfacecolor='y')
十六進sを整数に変換する	int(s, 16)
リストxdataとリストydataについての散布図をパウダーブルー色で描画する	plt.plot(xdata, ydata, c='powderblue')
整数nの十六進文字列	hex(n)[2:]
カラーコードrgbの丸マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='o', c=rgb)
散布図にリネン色のマーカーを使う	plt.plot(xdata, ydata, c='linen')
リストxdataとリストydataについての散布図をダークシアグリーン色で描画する	plt.plot(xdata, ydata, c='darkseagreen')
データフレームdfのカラムcolのsを欠損値に変換する	df[col].replace(s, np.nan)
ピアソン相関係数でデータフレームdfの相関行列	df.corr(method='pearson')
小麦色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='wheat')
散布図にブルーバイオレット色のマーカーを使う	plt.plot(xdata, ydata, c='blueviolet')
データフレームdfをカラムcol毎にグループ化して、合計を求める	df.groupby(col).sum()
sをマゼンタにする	f'\033[35m{s}\033[0m'
データフレームdfをカラムcolによって降順にソートする	df.sort_values(by=col, ascending=False)
データフレームdfの欠損値を最大値に設定する	df.fillna(df.max())
リストxdataとリストydataのカラーコードrgbの点線グラフを描画する	plt.plot(xdata, ydata, linestyle='dotted', color=rgb)
ゴールド色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='gold')
データフレームdfのn行目を削除する	df.drop(n, axis=0)
aとa2	a.index = a / 1
データフレームdfのリストalistカラムの標本標準偏差	df[alist].std()
CSVファイルfilenameからデータフレームを読み込む	pd.read_csv(filename, sep=',')
sのタブ文字をn個の空白に置き換える	s.expandtabs(tabsize=n)
オーキッド色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='orchid', alpha=0.5)
